% Model:              板.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 12 2022, 11:15
% Dimension:          2
% Nodes:              1225
% Expressions:        1
% Description:        表面
% surf1x                  surf1y                   电流密度模
0                         29.41176470588236        47.308711210585564
2.9411764705882355        29.411764705882355       47.31909116650736
0                         32.3529411764706         47.30036012278825
2.9411764705882364        32.35294117647059        47.29594980738513
5.882352941176468         23.52941176470588        45.70191068188686
5.88235294117647          26.470588235294116       46.87502310296817
5.88235294117647          29.411764705882355       47.355120401141214
5.882352941176469         32.3529411764706         47.26525867488183
2.9411764705882364        23.529411764705895       45.37311692117056
2.9411764705882364        26.47058823529412        46.71467644600722
0                         23.52941176470589        45.25489276887973
0                         26.470588235294123       46.65170343469837
5.882352941176468         17.647058823529413       40.920568912472774
5.882352941176467         20.588235294117652       43.757331046304465
2.9411764705882355        20.588235294117652       43.21745490764689
0                         20.588235294117656       43.028158292479304
5.882352941176469         0                        16.24793719004348
5.882352941176468         2.9411764705882364       18.042063836246022
